"""Kakawin dan Hikayat Refleksi Sastra Nusantara 3""",9789790690097,"""Abdul Hadi W.M dkk""","""Pusat Bahasa Kementerian Pendidikan Nasional ""","""Bahasa""",1
"""Wajah Deportan Antologi Puisi Penulis Muda Lintas Provinsi 2009""",9789796859702,"""Dian Arlika dkk""","""Pusat Bahasa Kementerian Pendidikan Nasional ""","""Bahasa""",1
"""Pedoman Penelitian Sastra Anak""",9789796857975,"""Riris K. Toha-Sarumpaet""","""Pusat Bahasa Kementerian Pendidikan Nasional ""","""Bahasa""",1
"""Kedwiaksaraan Dalam Penaskahan Nusantara Kajian Tipologi""",Kedwiaksaraan Dalam Penaskahan Nusantara Kajian Tipologi,"""Pusat Bahasa Kementerian Pendidikan Nasional ""","""Pusat Bahasa Kementerian Pendidikan Nasional ""","""Bahasa""",1
"""Babad Mangkubumi""",9789790690578,"""Moelyono Sastronaryatmo""","""Pusat Bahasa Kementerian Pendidikan Nasional ""","""Bahasa""",1
"""Buku Pintar Internet Untuk Pemula""",9789792798210,"""Jubilee Enterprise""","""PT Elex Media Komputindo""","""Ilmu-ilmu teknologi""",1
"""Wisdom of Luqman El-Hakim""",9789790390317,"""Ibrahim Abdul Muqtadir""","""Aqwam""","""Agama""",1
"""Sukses Berbisnis di Internet dalam 29 Hari""",9789792247473,"""Sukarto dkk""","""PT Gramedia Pustaka Utama""","""Karya Umum""",1
"""Kok Aku Susah Melulu Ya?""",9786029559293,"""Muhammad Mubhyidin""","""Flash Books""","""Karya Umum""",1
"""Yahoo's Top 25 Features""",9786020004563,"""Rahmad Widiyanto dkk""","""PT Elex Media Komputindo""","""Ilmu-ilmu teknologi""",1
"""Shortcut to Genius""",9786020204550,"""Sutanto Windura""","""PT Elex Media Komputindo""","""Karya Umum""",1
"""Melejit di Usia Muda""",9789792737974,"""Paulus Winarto dkk""","""PT Elex Media Komputindo""","""Karya Umum""",1
"""Keyakinan Ucapan & Perbuatan Pembatal Keislaman""",9789791286114,"""DR. Abdul Aziz Bin Muhammad Bin Ali Al-Abdul Lathif""","""Darul Haq""","""Agama""",1
"""Sukses Memotivasi dalam 3 Menit""",9789790810709,"""Kathy Paterson""","""Grasindo""","""Karya Umum""",1
"""Ipad and Android for Meeting and Work Scheduling""",9786020027753,"""Jubilee Enterprise""","""PT Elex Media Komputindo""","""Ilmu-ilmu teknologi""",1
"""The Best Windows Tuning Tools""",9789792789249,"""Wahana Komputer""","""PT Elex Media Komputindo""","""Ilmu-ilmu teknologi""",1
"""UKM Go Online With Google""",9786020033242,"""Wahana Komputer""","""PT Elex Media Komputindo""","""Ilmu-ilmu teknologi""",1
"""192 Tip Profesional WORD""",9789792797671,"""Christoper Lee""","""PT Elex Media Komputindo""","""Ilmu-ilmu teknologi""",1
"""Jurus Maut Desain Presentasi Power Point 2007""",9789792766134,"""Jubilee Enterprise""","""PT Elex Media Komputindo""","""Ilmu-ilmu teknologi""",1
"""Trik Memonitor Jaringan""",9789792765342,"""Raf Knoledge""","""PT Elex Media Komputindo""","""Ilmu-ilmu teknologi""",1
